run_id,id,d_hat,rho,gamma,epsilon,lambda,t_min,t_max,dt_target,dt_applied_w2,order_idx,ts_start_iso,ts_end_iso,dt_applied,renderer,notes
2021_g1.0_e0.1_l0.5,ncaf_2021_0031,0.6411908268928528,0.3291923403739929,1.0,0.1,0.5,0.2,1.2,0.9269101185304665,,30,2025-10-28T00:30:51.625322+00:00,2025-10-28T00:30:52.556351+00:00,0.931015,opencv,w3 baseline run
2021_g1.0_e0.1_l0.5,ncaf_2021_0032,0.3921149373054504,0.2308042049407959,1.0,0.1,0.5,0.2,1.2,0.6831772434749052,,31,2025-10-28T00:30:52.558051+00:00,2025-10-28T00:30:53.243288+00:00,0.685224,opencv,w3 baseline run
2021_g1.0_e0.1_l0.5,ncaf_2021_0033,0.4864672720432281,0.2171455323696136,1.0,0.1,0.5,0.2,1.2,0.7527984619047766,,32,2025-10-28T00:30:53.244539+00:00,2025-10-28T00:30:54.001417+00:00,0.756863,opencv,w3 baseline run
2021_g1.0_e0.1_l0.5,ncaf_2021_0034,0.5644932389259338,0.326908528804779,1.0,0.1,0.5,0.2,1.2,0.8795143109017441,,33,2025-10-28T00:30:54.003023+00:00,2025-10-28T00:30:54.883843+00:00,0.880804,opencv,w3 baseline run
2021_g1.0_e0.1_l0.5,ncaf_2021_0035,0.0899449661374092,0.0668584555387497,1.0,0.1,0.5,0.2,1.2,0.3477960188085336,,34,2025-10-28T00:30:54.885560+00:00,2025-10-28T00:30:55.233724+00:00,0.348154,opencv,w3 baseline run
2021_g1.0_e0.1_l0.5,ncaf_2021_0036,0.2242934554815292,0.0952849239110946,1.0,0.1,0.5,0.2,1.2,0.4353149982306436,,35,2025-10-28T00:30:55.235263+00:00,2025-10-28T00:30:55.674437+00:00,0.439163,opencv,w3 baseline run
2021_g1.0_e0.1_l0.5,ncaf_2021_0037,0.435077041387558,0.1225299835205078,1.0,0.1,0.5,0.2,1.2,0.65068406935002,,36,2025-10-28T00:30:55.675921+00:00,2025-10-28T00:30:56.329224+00:00,0.65329,opencv,w3 baseline run
2021_g1.0_e0.1_l0.5,ncaf_2021_0038,0.4921213686466217,0.2376144826412201,1.0,0.1,0.5,0.2,1.2,0.7655118034703746,,37,2025-10-28T00:30:56.330566+00:00,2025-10-28T00:30:57.100102+00:00,0.769502,opencv,w3 baseline run
2021_g1.0_e0.1_l0.5,ncaf_2021_0039,0.1408317536115646,0.0874198973178863,1.0,0.1,0.5,0.2,1.2,0.3915694060910717,,38,2025-10-28T00:30:57.101346+00:00,2025-10-28T00:30:57.495510+00:00,0.394151,opencv,w3 baseline run
2021_g1.0_e0.1_l0.5,ncaf_2021_0040,0.0975259095430374,0.090198740363121,1.0,0.1,0.5,0.2,1.2,0.3190587942440138,,39,2025-10-28T00:30:57.496523+00:00,2025-10-28T00:30:57.821525+00:00,0.324984,opencv,w3 baseline run
2021_g1.0_e0.1_l0.5,ncaf_2021_0041,0.8522021770477295,0.5137770771980286,1.0,0.1,0.5,0.2,1.2,1.228622370163628,,40,2025-10-28T00:30:57.822875+00:00,2025-10-28T00:30:59.054707+00:00,1.231815,opencv,w3 baseline run
2021_g1.0_e0.1_l0.5,ncaf_2021_0042,0.254779040813446,0.1125342026352882,1.0,0.1,0.5,0.2,1.2,0.5355825961339347,,41,2025-10-28T00:30:59.056254+00:00,2025-10-28T00:30:59.595192+00:00,0.538884,opencv,w3 baseline run
2021_g1.0_e0.1_l0.5,ncaf_2021_0043,0.3069422245025635,0.1434335559606552,1.0,0.1,0.5,0.2,1.2,0.5433102776434571,,42,2025-10-28T00:30:59.598408+00:00,2025-10-28T00:31:00.146792+00:00,0.548375,opencv,w3 baseline run
2021_g1.0_e0.1_l0.5,ncaf_2021_0044,0.4355660676956177,0.1782289296388626,1.0,0.1,0.5,0.2,1.2,0.6781967870187742,,43,2025-10-28T00:31:00.147431+00:00,2025-10-28T00:31:00.828032+00:00,0.680589,opencv,w3 baseline run
2021_g1.0_e0.1_l0.5,ncaf_2021_0045,0.1338114142417907,0.0972686037421226,1.0,0.1,0.5,0.2,1.2,0.3803404489884375,,44,2025-10-28T00:31:00.828774+00:00,2025-10-28T00:31:01.214166+00:00,0.385381,opencv,w3 baseline run
2021_g1.0_e0.1_l0.5,ncaf_2021_0046,0.602737545967102,0.3108220100402832,1.0,0.1,0.5,0.2,1.2,0.8766494592207041,,45,2025-10-28T00:31:01.215346+00:00,2025-10-28T00:31:02.095099+00:00,0.879739,opencv,w3 baseline run
2021_g1.0_e0.1_l0.5,ncaf_2021_0047,0.7485437393188477,0.4175116419792175,1.0,0.1,0.5,0.2,1.2,1.1236143874982425,,46,2025-10-28T00:31:02.095912+00:00,2025-10-28T00:31:03.220575+00:00,1.124648,opencv,w3 baseline run
2021_g1.0_e0.1_l0.5,ncaf_2021_0048,0.2814121544361114,0.110234186053276,1.0,0.1,0.5,0.2,1.2,0.555231328514061,,47,2025-10-28T00:31:03.221453+00:00,2025-10-28T00:31:03.780544+00:00,0.55908,opencv,w3 baseline run
2021_g1.0_e0.1_l0.5,ncaf_2021_0049,0.2733498215675354,0.1197313219308853,1.0,0.1,0.5,0.2,1.2,0.5072915147723871,,48,2025-10-28T00:31:03.781794+00:00,2025-10-28T00:31:04.290947+00:00,0.509139,opencv,w3 baseline run
2021_g1.0_e0.1_l0.5,ncaf_2021_0050,0.1850678920745849,0.0946985632181167,1.0,0.1,0.5,0.2,1.2,0.4131005926702099,,49,2025-10-28T00:31:04.292535+00:00,2025-10-28T00:31:04.708550+00:00,0.416009,opencv,w3 baseline run
