run_id,id,d_hat,rho,gamma,epsilon,lambda,t_min,t_max,dt_target,dt_applied,order_idx
2021_g1.0_e0.1_l0.5,ncaf_2021_0063,0.5207439661026001,0.18770577013492584,1.0,0.1,0.5,0.2,1.2,0.7650330710023446,,62
2021_g1.0_e0.1_l0.5,ncaf_2021_0064,0.43476712703704834,0.15663012862205505,1.0,0.1,0.5,0.2,1.2,0.6914476626365054,,63
2021_g1.0_e0.1_l0.5,ncaf_2021_0065,0.43973323702812195,0.15539070963859558,1.0,0.1,0.5,0.2,1.2,0.689598812731349,,64
2021_g1.0_e0.1_l0.5,ncaf_2021_0066,0.4663052260875702,0.18486884236335754,1.0,0.1,0.5,0.2,1.2,0.7250082964958395,,65
2021_g1.0_e0.1_l0.5,ncaf_2021_0067,0.43185117840766907,0.23607997596263885,1.0,0.1,0.5,0.2,1.2,0.7099915718785291,,66
2021_g1.0_e0.1_l0.5,ncaf_2021_0068,0.08874333649873734,0.06827850639820099,1.0,0.1,0.5,0.2,1.2,0.33441192556410126,,67
2021_g1.0_e0.1_l0.5,ncaf_2021_0069,0.3195585608482361,0.14612433314323425,1.0,0.1,0.5,0.2,1.2,0.536466622988473,,68
2021_g1.0_e0.1_l0.5,ncaf_2021_0070,0.2333875149488449,0.07800240814685822,1.0,0.1,0.5,0.2,1.2,0.45720495365876873,,69
2021_g1.0_e0.1_l0.5,ncaf_2021_0071,0.27795717120170593,0.1480393409729004,1.0,0.1,0.5,0.2,1.2,0.5092633207827432,,70
2021_g1.0_e0.1_l0.5,ncaf_2021_0072,0.3743412494659424,0.11581458896398544,1.0,0.1,0.5,0.2,1.2,0.5970021560244474,,71
2021_g1.0_e0.1_l0.5,ncaf_2021_0073,0.2612625062465668,0.14745165407657623,1.0,0.1,0.5,0.2,1.2,0.5063354122817629,,72
2021_g1.0_e0.1_l0.5,ncaf_2021_0074,0.24277137219905853,0.1014138013124466,1.0,0.1,0.5,0.2,1.2,0.468248683445344,,73
